Youtuber,subscribers,video views,video count,category,started,username,Youtube Url,Audience Country,Avg. Likes,Avg. Comments,ID
HowToBasic,17100000,3561001854,563,Howto & Style,2011,HowToBasic,http://youtube.com/channel/UCR4s1DE9J4DHzZYXMltSMAg,United States,45900.0,3500.0,UCR4s1DE9J4DHzZYXMltSMAg
Jason Derulo,16800000,8808599101,451,Music,2008,JasonDerulo,http://youtube.com/channel/UCe3yZzUwpmy2eKKmF9svX0Q,United States,3400.0,61.0,UCA7oqkXUZIlT8QXhxaIR4RA
Anitta,16700000,6610175435,99,Music,2011,AnittaOficial,http://youtube.com/channel/UCqjjyPUghDSSKFBABM_CXMw,Brazil,3600.0,118.0,UCqjjyPUghDSSKFBABM_CXMw
Tu COSMOPOLIS,16600000,4875900353,6796,People & Blogs,2014,Tu COSMOPOLIS,http://youtube.com/channel/UCo4ywJQXfUIB0lCBpczW3cA,Mexico,7600.0,751.0,UCo4ywJQXfUIB0lCBpczW3cA
DeToxoMoroxo,16600000,2212149791,488,Entertainment,2012,jquintanac5,http://youtube.com/channel/UCq_oSgHK9lk6NUUgkhUOPnw,Mexico,19700.0,6200.0,UCq_oSgHK9lk6NUUgkhUOPnw
TheBrianMaps,16500000,4090289417,476,Comedy,2012,TheBrianMaps,http://youtube.com/channel/UCyJrhZm9KXrzRub3-wD2zWg,Russia,255400.0,13300.0,UCyJrhZm9KXrzRub3-wD2zWg
zbing z.,16400000,8307904773,2763,Gaming,2014,zbingzbing,http://youtube.com/channel/UC5zGJZpxeZPFcds5gFcDE7Q,Thailand,18700.0,741.0,UC5zGJZpxeZPFcds5gFcDE7Q
ExtraPolinesios,16300000,4696367446,480,People & Blogs,2012,ppextras,http://youtube.com/channel/UCY8LnVxm0Hf7DKPKuLPxb2g,Mexico,4300.0,59.0,UCY8LnVxm0Hf7DKPKuLPxb2g
SOMOY TV,16200000,9476895180,124072,News & Politics,2015,SOMOY TV,http://youtube.com/channel/UCxHoBXkY88Tb8z1Ssj6CWsQ,Bangladesh,163.0,10.0,UCxHoBXkY88Tb8z1Ssj6CWsQ
Queen Official,16100000,9723539941,908,Music,2008,queenofficial,http://youtube.com/channel/UCiMhD4jzUqG-IgPzUmmytRQ,United States,9200.0,345.0,UCiMhD4jzUqG-IgPzUmmytRQ
Sidemen,16100000,4196033350,264,Entertainment,2015,Sidemen,http://youtube.com/channel/UCDogdKl7t7NHzQ95aEwkdMw,United Kingdom,366100.0,11000.0,UCDogdKl7t7NHzQ95aEwkdMw
The Game Theorists,16100000,3546490692,659,Gaming,2009,MatthewPatrick13,http://youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w,United States,113100.0,6600.0,UCo_IB5145EVNcf8hw1Kku7w
Antrax,16100000,2949891202,654,Gaming,2015,Antrax,http://youtube.com/channel/UCNbwP-bKUlKrE_5qDwvFILQ,Mexico,95200.0,5700.0,UCNbwP-bKUlKrE_5qDwvFILQ
TRANS TV Official,16000000,8780937851,123467,Entertainment,2014,TRANSTVofficial,http://youtube.com/channel/UCIohHXwCEKxWCLvAguJ-GjA,Indonesia,13.0,1.0,UCIohHXwCEKxWCLvAguJ-GjA
FailArmy,16000000,2041620563,337,Comedy,2011,failarmy,http://youtube.com/channel/UCPDis9pjXuqyI7RYLJ-TTSA,United States,19600.0,592.0,UCPDis9pjXuqyI7RYLJ-TTSA
DopeLyrics,15900000,9803533121,1937,Music,2016,DopeLyrics,http://youtube.com/channel/UCvR2R7j218tzejtTsb_X6Rw,United States,408.0,49.0,UCvR2R7j218tzejtTsb_X6Rw
Boyce Avenue,15900000,6230190520,438,Music,2007,boyceavenue,http://youtube.com/channel/UCgc00bfF_PvO_2AvqJZHXFg,Brazil,5900.0,181.0,UCgc00bfF_PvO_2AvqJZHXFg
VICE,15900000,4174962442,3694,Entertainment,2005,vice,http://youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,United States,7800.0,1400.0,UCn8zNIfYAQNdrFRrr8oibKw
Kaykai Salaider,15900000,4248704474,399,Comedy,2011,Kaykai Salaider,http://youtube.com/channel/UCdLGCJcIGu5ExzYN6CXtkIw,Thailand,62100.0,1800.0,UCdLGCJcIGu5ExzYN6CXtkIw
Marques Brownlee,15900000,3082486680,1454,Science & Technology,2008,marquesbrownlee,http://youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,United States,93700.0,5400.0,UCBJycsmduvYEL83R_U4JriQ
Aayu and Pihu Show,15800000,7837311552,352,Comedy,2017,Aayu and Pihu Show,http://youtube.com/channel/UCFcBAGR0drI3F15EhMFjuTg,India,91500.0,2300.0,UCFcBAGR0drI3F15EhMFjuTg
Matt Stonie,15700000,3249162653,401,Entertainment,2012,MegatoadStonie,http://youtube.com/channel/UCd1fLoVFooPeWqCEYVUJZqg,United States,122500.0,1200.0,UCd1fLoVFooPeWqCEYVUJZqg
Pop Chartbusters,15600000,7817983360,2154,Music,2011,popchartbusters,http://youtube.com/channel/UCzL6rJhkoXkIt0fCv9T9_uA,India,422.0,73.0,UCzL6rJhkoXkIt0fCv9T9_uA
wifistudy,15400000,2805232542,46290,Education,2014,wifistudy,http://youtube.com/channel/UCuWuAvEnKWez5BUr29VpwqA,India,533.0,11.0,UCuWuAvEnKWez5BUr29VpwqA
RCTI - LAYAR DRAMA INDONESIA,15300000,12818689835,58886,Entertainment,2015,RCTI - LAYAR DRAMA INDONESIA,http://youtube.com/channel/UCzTsWuCdVP_vehWyGwPcS3Q,Indonesia,394.0,24.0,UCzTsWuCdVP_vehWyGwPcS3Q
TheRichest,15100000,2919203136,2206,Education,2014,TheRichest,http://youtube.com/channel/UCdxi8d8qRsRyUi2ERYjYb-w,United States,813.0,89.0,UCdxi8d8qRsRyUi2ERYjYb-w
Makiman131,15000000,4484263923,3102,Gaming,2013,Makiman131,http://youtube.com/channel/UCevY-z55kr37ZAXG15F-KiA,Spain,21400.0,576.0,UCevY-z55kr37ZAXG15F-KiA
НТВ,14900000,439098,1,People & Blogs,2008,ntvru,http://youtube.com/channel/UCsA_vkmuyIRlYYXeJueyIJQ,Russia,901.0,216.0,UCsA_vkmuyIRlYYXeJueyIJQ
Henrique e Juliano,14900000,12484253152,285,Music,2009,hejproducao,http://youtube.com/channel/UCfLTxnQboSLcoSakgONmukQ,Brazil,2700.0,37.0,UCfLTxnQboSLcoSakgONmukQ
