Youtuber,subscribers,video views,video count,category,started
Aayu and Pihu Show,15800000,7837311552,352,Comedy,2017
JJ Olatunji,15800000,3631494389,1183,Gaming,2011
Katie Angel,15800000,3007947714,732,People & Blogs,2015
MissaSinfonia,15800000,1918777559,232,Comedy,2011
AMARINTV : อมรินทร์ทีวี,15700000,11194074075,97231,Entertainment,2014
Rotten Tomatoes Trailers,15700000,12811981848,9582,Film & Animation,2011
Pitbull,15700000,11458130113,302,Music,2006
Enes Batur,15700000,9410061135,1979,Gaming,2012
Jennifer Lopez,15700000,9512025119,224,Music,2005
Jason Vlogs,15700000,7137778517,666,Education,2015
Alejo Igoa,15700000,5276127016,699,Comedy,2014
Matt Stonie,15700000,3249162653,401,Entertainment,2012
Caeli YT,15700000,1509244860,545,Entertainment,2010
Pop Chartbusters,15600000,7817983360,2154,Music,2011
Tilak,15600000,6132515137,3614,Film & Animation,2020
AdMe,15600000,4012749893,5356,Entertainment,2015
